method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
BO-online,10,1,1,1.7353235441189643,1.5983808062968274,3,1.1834985853279996,1.0322980818776557,19.396788689577345,24.660967686320973,44.05775637589832,11.655713600106537,1071,240,1311,
BO-online,10,2,1,5.465664915303593,0.38225732491748654,5,1.6678992720734627,0.0,53.85543083198358,14.890292996699461,68.74572382868304,18.182522300630808,1071,240,1311,
BO-online,10,3,1,5.997580522384093,4.357297458224296,0,0.0,2.9436273349086797,0.0,0.0,0.0,4.841931300237775,1071,240,1311,
BO-online,10,4,1,4.8482237071492955,1.421011676752724,4,2.2479611910957615,2.1097674048659414,41.987525924322036,26.441836088229223,68.42936201255125,14.837527600117028,1071,240,1311,
BO-online,10,5,1,3.272546724488765,0.39193665765990376,3,0.5384621518261632,0.45983601526366513,27.428287293916174,8.498824168102606,35.92711146201878,9.2769919000566,1071,240,1311,
BO-online,15,1,1,1.2966943669209892,1.1071182791079133,7,3.0276060267137126,1.0448687797549,37.37929868099639,43.88473116431652,81.2640298453129,25.304403900168836,1071,240,1311,
BO-online,15,2,1,5.785836036181463,0.8379355806780027,4,0.9386764232437415,0.7263780408077878,51.489948676026266,21.040705893892476,72.53065456991874,26.072521300055087,1071,240,1311,
BO-online,15,3,1,1.7353235441189643,1.5983808062968274,7,2.306849556714816,1.7275311047705273,44.07364335357673,47.14920988506537,91.2228532386421,31.826273599639535,1071,240,1311,
BO-online,15,4,1,3.087058996534387,1.6308308510877398,5,4.610616608007241,4.570123411881667,42.987521007476246,33.971482300599185,76.95900330807544,33.79422270040959,1071,240,1311,
BO-online,15,5,1,2.73755885816792,4.066851857939238,2,0.8610734402012348,0.8393600577569273,18.88069468001409,26.807750641976146,45.68844532199024,22.988201799802482,1071,240,1311,
BO-online,20,1,1,1.1118029373475269,1.6184424129744683,10,0.8776828123616767,0.533793687638763,45.55128321776661,54.86320446766716,100.41448768543377,68.86704399995506,1071,240,1311,
BO-online,20,2,1,1.4178733164163972,1.661182005043767,6,1.9715362444228717,1.726033078599535,35.83144078605684,45.12579075993215,80.95723154598899,36.02698679920286,1071,240,1311,
BO-online,20,3,1,3.006775120679167,2.8455697381798006,5,19.73184833195763,5.620922248636859,46.67059029958531,35.32614206087936,81.99673236046468,46.84068949986249,1071,240,1311,
BO-online,20,4,1,4.952846470060975,3.665613442647128,4,1.909842305074534,1.8792958426999817,48.12498037316285,36.049120691655254,84.1741010648181,51.134129700250924,1071,240,1311,
BO-online,20,5,1,5.0875924491767055,0.7715342313552425,5,13.67124452238022,3.0282801996965105,56.58178376608213,28.88642236149341,85.46820612757554,38.58844009973109,1071,240,1311,
BO-online,25,1,1,4.056446109100009,1.0498535839688863,9,9.35941088314111,2.7016549605722844,88.30529405204172,41.59414335875545,129.89943741079716,79.98330220021307,1071,240,1311,
BO-online,25,2,1,1.9608997942351485,1.5100902245271333,9,5.403535718454428,4.426643119755006,63.58919014801847,60.00360898108533,123.5927991291038,67.54750250000507,1071,240,1311,
BO-online,25,3,1,3.484874091469336,0.827576276673419,6,9.582107485146388,0.0,51.62930529310755,29.810724233693744,81.4400295268013,51.1664736000821,1071,240,1311,
BO-online,25,4,1,2.1937110668221136,1.9740284876429008,5,1.1001475248973165,0.9362927775581795,38.732535282396896,37.28635851974221,76.0188938021391,52.49491980019957,1071,240,1311,
BO-online,25,5,1,3.842481955636501,1.940825728957281,2,5.111778676242121,4.493384037406827,17.83500904266088,18.101342403270063,35.93635144593094,35.728867299854755,1071,240,1311,
BO-online,30,1,1,3.0419617612098886,2.9638669870749266,6,4.425617061337462,4.380836170466878,54.06424728745102,42.062132070163976,96.126379357615,89.26151050068438,1071,240,1311,
BO-online,30,2,1,4.455339345732404,3.369508979451027,3,1.8350452829573243,3.1211240924991657,35.466402229888395,40.54283808256506,76.00924031245346,95.5331609994173,1071,240,1311,
BO-online,30,3,1,5.4973554502912725,0.7605237585262019,5,5.695130944703614,0.5417827174184069,59.647225450032046,25.731064581755803,85.37829003178786,91.40294060017914,1071,240,1311,
BO-online,30,4,1,3.484874091469336,0.827576276673419,7,8.507829318578729,3.1403621504957115,67.82540486254312,32.703051066936766,100.52845592947989,110.05162149947137,1071,240,1311,
BO-online,30,5,1,0.8493588188920345,1.7386845277781624,9,10.106674540922015,9.376988636772666,39.57814061277315,69.14738111112649,108.72552172389965,85.77469009999186,1071,240,1311,
