trial,seed,n_users,method,outer_iterations,inner_iterations,total_rounds
0,20283001,20,Algorithm2,10,1,11
0,20283001,20,UBRD,3,0,3
0,20283001,20,VI,0,46,46
0,20283001,20,PEN,8,325,333
1,20283002,20,Algorithm2,9,1,10
1,20283002,20,UBRD,3,0,3
1,20283002,20,VI,0,200,200
1,20283002,20,PEN,8,331,339
0,20313001,50,Algorithm2,16,1,17
0,20313001,50,UBRD,4,0,4
0,20313001,50,VI,0,200,200
0,20313001,50,PEN,8,336,344
1,20313002,50,Algorithm2,14,1,15
1,20313002,50,UBRD,5,0,5
1,20313002,50,VI,0,200,200
1,20313002,50,PEN,8,308,316
