n_users,iteration,social_cost,centralized_social_cost
20,1,451.440328,321.415806
20,2,425.888915,321.415806
20,3,402.4574636,321.415806
20,4,383.0229149,321.415806
20,5,368.0781348,321.415806
20,6,357.0917907,321.415806
20,7,357.0917907,321.415806
20,8,357.0917907,321.415806
20,9,357.0917907,321.415806
20,10,357.0917907,321.415806
20,11,357.0917907,321.415806
20,12,357.0917907,321.415806
20,13,357.0917907,321.415806
20,14,357.0917907,321.415806
30,1,806.4402787,548.6726989
30,2,754.5016465,548.6726989
30,3,716.1426978,548.6726989
30,4,683.3894921,548.6726989
30,5,651.0265439,548.6726989
30,6,620.7162372,548.6726989
30,7,613.4623568,548.6726989
30,8,613.4623568,548.6726989
30,9,613.4623568,548.6726989
30,10,613.4623568,548.6726989
30,11,613.4623568,548.6726989
30,12,613.4623568,548.6726989
30,13,602.9865158,548.6726989
30,14,602.9865158,548.6726989
30,15,602.9865158,548.6726989
30,16,602.9865158,548.6726989
30,17,602.9865158,548.6726989
30,18,602.9865158,548.6726989
30,19,602.9865158,548.6726989
30,20,602.9865158,548.6726989
30,21,602.9865158,548.6726989
30,22,602.9865158,548.6726989
30,23,601.8540206,548.6726989
40,1,875.1944008,681.3893275
40,2,834.4015635,681.3893275
40,3,803.0548284,681.3893275
40,4,780.2322549,681.3893275
40,5,761.9654106,681.3893275
40,6,744.7745181,681.3893275
40,7,741.9016184,681.3893275
40,8,741.6172334,681.3893275
40,9,741.6172334,681.3893275
40,10,741.6172334,681.3893275
40,11,741.6172334,681.3893275
40,12,741.6172334,681.3893275
40,13,741.6172334,681.3893275
40,14,741.6172334,681.3893275
40,15,720.6206494,681.3893275
40,16,720.6206494,681.3893275
40,17,720.6206494,681.3893275
40,18,720.6206494,681.3893275
40,19,720.6206494,681.3893275
40,20,720.6206494,681.3893275
40,21,719.9494145,681.3893275
40,22,719.9494145,681.3893275
40,23,719.9494145,681.3893275
40,24,719.9494145,681.3893275
40,25,719.9494145,681.3893275
40,26,719.9494145,681.3893275
40,27,719.9494145,681.3893275
40,28,719.9494145,681.3893275
40,29,719.9494145,681.3893275
40,30,719.9494145,681.3893275
40,31,716.0396071,681.3893275
50,1,1057.763118,817.1865958
50,2,1025.313185,817.1865958
50,3,995.9282583,817.1865958
50,4,971.2785438,817.1865958
50,5,946.8972642,817.1865958
50,6,922.7003132,817.1865958
50,7,898.9205607,817.1865958
50,8,898.9205607,817.1865958
50,9,889.7078428,817.1865958
50,10,889.7078428,817.1865958
50,11,889.7078428,817.1865958
50,12,889.7078428,817.1865958
50,13,889.7078428,817.1865958
50,14,889.7078428,817.1865958
50,15,889.7078428,817.1865958
50,16,889.7078428,817.1865958
50,17,889.7078428,817.1865958
50,18,889.7078428,817.1865958
50,19,889.7078428,817.1865958
50,20,889.7078428,817.1865958
50,21,889.7078428,817.1865958
50,22,889.7078428,817.1865958
50,23,889.7078428,817.1865958
50,24,889.7078428,817.1865958
50,25,889.7078428,817.1865958
50,26,889.7078428,817.1865958
50,27,889.7078428,817.1865958
50,28,889.7078428,817.1865958
50,29,889.7078428,817.1865958
50,30,889.7078428,817.1865958
50,31,889.7078428,817.1865958
50,32,889.7078428,817.1865958
50,33,889.7078428,817.1865958
50,34,889.7078428,817.1865958
