iteration,pE,pN,epsilon,dist_to_se,epsilon_delta
0,0.7558417313323854,0.8452404232489934,241.97947241890688,0.28789997848677623,nan
1,1.4259939686429983,3.9395396466514283,0.0,3.25622132405658,241.97947241890688
2,1.4259902837372083,3.9395351413068527,0.0,3.256216384870581,0.0
3,1.4259901482006065,3.9395349755932294,1.867900408569767e-06,3.2562162031996467,-1.867900408569767e-06
4,1.425990182278379,3.9395350172583674,2.241480956399755e-07,3.256216248876908,1.6437523129297915e-06
5,1.4259901863677118,3.939535022258185,2.6897765792455175e-08,3.2562162543581805,1.9725032984752033e-07
6,1.4259901868584315,3.9395350228581627,3.227768274882692e-09,3.2562162550159326,2.3669997517572483e-08
7,1.4259901869521143,3.939535022972705,0.0,3.2562162551415046,3.227768274882692e-09
8,1.4259901869146407,3.9395350229268877,5.164508820598712e-10,3.2562162550912754,-5.164508820598712e-10
9,1.4259901869146407,3.9395350229268877,5.164508820598712e-10,3.2562162550912754,nan
