n_users,method,outer_iters_mean,outer_iters_std,inner_iters_mean,inner_iters_std,total_rounds_mean,total_rounds_std,count
50,Algorithm2,16.0,0.0,1.0,0.0,17.0,0.0,1
50,PEN,8.0,0.0,336.0,0.0,344.0,0.0,1
50,UBRD,4.0,0.0,0.0,0.0,4.0,0.0,1
50,VI,0.0,0.0,200.0,0.0,200.0,0.0,1
100,Algorithm2,18.0,0.0,1.0,0.0,19.0,0.0,1
100,PEN,8.0,0.0,349.0,0.0,357.0,0.0,1
100,UBRD,6.0,0.0,0.0,0.0,6.0,0.0,1
100,VI,0.0,0.0,200.0,0.0,200.0,0.0,1
200,Algorithm2,27.0,0.0,1.0,0.0,28.0,0.0,1
200,PEN,8.0,0.0,332.0,0.0,340.0,0.0,1
200,UBRD,5.0,0.0,0.0,0.0,5.0,0.0,1
200,VI,0.0,0.0,200.0,0.0,200.0,0.0,1
