n_users,iteration,social_cost_mean,social_cost_std,count
50,0,1166.4994311493142,60.97052491124576,10
50,1,1130.5145655046947,60.458603045330825,10
50,2,1098.2811742152976,61.78373562076455,10
50,3,1070.0884932354807,61.33317832461507,10
50,4,1044.7602406415665,61.69148751225721,10
50,5,1021.4054305895055,61.30195514176645,10
50,6,1000.5120316302957,60.94287308355331,10
50,7,982.7147074683568,62.46708691137417,10
50,8,967.2456304228468,63.621242747097554,10
50,9,954.9284254958515,64.67491762710978,10
50,10,945.3437560960834,66.01615012061758,10
50,11,939.0180704214296,67.05269469019073,10
50,12,934.7082510393205,68.33085354825657,10
50,13,918.8179132196775,60.02486866306475,9
50,14,919.4340113694905,68.41697920378516,7
50,15,930.0280783858935,68.17616129667324,6
100,0,2373.719095120162,99.59107899724768,10
100,1,2334.3990941945044,97.60890278292521,10
100,2,2298.840834965072,94.5331390948046,10
100,3,2265.630273151563,91.4438272145208,10
100,4,2234.3843774900006,89.40194100114795,10
100,5,2206.320286184985,87.79752987211569,10
100,6,2180.13600513759,86.16514557416116,10
100,7,2156.9549826753737,84.62629860168227,10
100,8,2136.162860242096,83.26819560077769,10
100,9,2117.7934678205393,82.48972993144127,10
100,10,2101.637851124651,82.18276993084372,10
100,11,2087.5278117464904,82.05286121509305,10
100,12,2075.2082254066854,82.08442784707648,10
100,13,2064.744179993965,82.04148882628793,10
100,14,2056.424531103128,82.05657734357015,10
100,15,2050.7048239045025,82.16352128109313,10
100,16,2039.0513157669557,82.7793746409648,9
100,17,2027.4290497202114,82.20604184206105,8
100,18,2057.8656974535884,65.82360201253614,5
100,19,2067.859300517575,71.55725944396546,4
100,20,2109.460666215461,83.79296420816709,2
200,0,4646.71369004389,122.85466727699304,10
200,1,4601.1745462633,122.73206993650523,10
200,2,4559.525784546138,123.25737102762088,10
200,3,4520.5859556974765,124.22026900681418,10
200,4,4484.870521553976,123.53341962242826,10
200,5,4450.58772799008,122.72807725897052,10
200,6,4418.939123172243,121.98214419983817,10
200,7,4390.0811896858095,121.03501318067181,10
200,8,4362.969413718309,120.18564231076013,10
200,9,4338.471859905754,119.35664874844169,10
200,10,4316.482071314139,117.98041832114595,10
200,11,4296.22922670523,117.41728982596348,10
200,12,4278.7350673185,116.69484342903137,10
200,13,4262.880006302905,115.70530765095576,10
200,14,4248.69130071836,114.63467264998498,10
200,15,4236.369454507326,113.64224392317897,10
200,16,4225.862658617959,112.62013717529409,10
200,17,4217.27321121983,112.33737194676766,10
200,18,4210.121201787674,112.16653496769325,10
200,19,4204.709527657649,111.98527567642786,10
200,20,4194.654960528069,116.61145943361068,9
200,21,4192.569891907267,116.26372208307657,9
200,22,4193.4093391510805,122.43284030166814,7
200,23,4195.5694141669655,141.12144155998345,3
200,24,4147.785207831688,162.72047203734093,2
