n_users,method,social_cost_mean,social_cost_std,offloading_size_mean,offloading_size_std,count
8,Algorithm2,139.64830010769603,13.641752410977363,6.0,2.0,3
8,CS,174.12008945571105,7.043466766593132,3.6666666666666665,2.0816659994661326,3
8,PEN,142.7750733700092,14.411596871664077,5.0,2.0,3
8,UBRD,139.64830010769603,13.641752410977363,6.0,2.0,3
8,VI,143.20779680546104,16.39992555249597,5.666666666666667,1.5275252316519468,3
10,Algorithm2,151.14727631725046,8.020272076059731,7.0,1.0,3
10,CS,180.65289721329518,23.100493599043695,4.666666666666667,0.5773502691896257,3
10,PEN,153.80176603953626,9.007250450965882,6.0,1.0,3
10,UBRD,154.12498990757334,13.043620403040942,7.666666666666667,1.5275252316519468,3
10,VI,151.2451002369925,7.983222123074844,6.666666666666667,1.5275252316519468,3
12,Algorithm2,179.89048467337497,2.4023674630729634,6.666666666666667,1.5275252316519468,3
12,CS,213.45383322010207,25.553148537201018,4.666666666666667,2.0816659994661326,3
12,PEN,182.8474826051968,3.887597991621948,6.0,2.0,3
12,UBRD,180.94420419832014,3.59892023087646,7.333333333333333,2.0816659994661326,3
12,VI,186.36539648939538,4.260201057067058,5.333333333333333,2.8867513459481287,3
