method,pE,pN,n_users,F,B,count,social_cost_mean,offloading_size_mean,epsilon_proxy_mean,runtime_sec_mean,esp_revenue_mean,nsp_revenue_mean,social_cost_std,offloading_size_std,epsilon_proxy_std,runtime_sec_std,esp_revenue_std,nsp_revenue_std
DG,0.1,0.5,100,100.0,40.0,5,1915.3700352412793,17.8,1195.025354971053,0.3068957599811256,9.000000000000002,19.6,46.69759939011566,1.1661903789690602,483.0212593723672,0.055504334927122374,1.5888218580782547e-15,2.2469334198890887e-15
DG,0.5,0.5,100,100.0,40.0,5,1996.8073566951916,17.0,655.7039262948585,0.38093273974955083,49.0,19.6,80.22555127986863,1.0954451150103321,182.4381632702772,0.08727409242857936,5.503840364735051e-15,2.7519201823675253e-15
DG,1.0,0.5,100,100.0,40.0,5,2032.1136277059425,17.8,871.3391948700771,0.3524070599116385,88.61110994241584,19.6,65.48189184318241,1.469693845669907,278.8296294379217,0.08067801593680163,4.923351013463916,2.2469334198890887e-15
PEN,0.1,0.5,100,100.0,40.0,5,1935.1023328051567,17.4,1176.8530744223779,9.88214871995151,8.581851255124997,18.947871085399232,46.339364681488725,0.4898979485566356,476.302435746216,1.5010631408179078,0.039021137670601884,0.10607321653823504
PEN,0.5,0.5,100,100.0,40.0,5,2011.1840903155764,16.2,661.0307542015989,10.92992969993502,46.561231132006164,18.553895438653097,84.29466472686804,0.9797958971132713,173.1608647115708,0.8953071310913678,0.34507555635568826,0.2946382488163628
PEN,1.0,0.5,100,100.0,40.0,5,2043.965454215926,17.2,868.7206543924971,7.9733625399880115,85.46676898241036,18.883664616908,62.50088820391011,2.039607805437114,296.4289640562852,0.5134425654806455,7.97857581209863,0.24125635052034972
UBRD,0.1,0.5,100,100.0,40.0,5,2034.3631724937743,27.6,1286.3486986087228,0.3172030800022185,9.0,19.6,50.10047770313185,1.3564659966250536,506.525245704579,0.07286157387927891,2.1018137570293106e-15,1.5888218580782547e-15
UBRD,0.5,0.5,100,100.0,40.0,5,2088.045458679325,26.4,703.339207999318,0.33308827998116614,49.0,19.6,83.85721564592043,0.7999999999999999,211.56827228996193,0.051968648395035504,5.503840364735051e-15,0.0
UBRD,1.0,0.5,100,100.0,40.0,5,2110.5032825146623,25.6,908.0671512041183,0.3135916399769485,99.0,19.6,78.89538324834434,0.7999999999999999,290.9387520311839,0.031243122516501024,1.1007680729470101e-14,1.5888218580782547e-15
VI,0.1,0.5,100,100.0,40.0,5,1948.9127915241945,15.8,1188.3152105364604,0.2367454799823463,7.300501270453152,17.550550324308457,47.19360777649128,0.9797958971132713,475.14377939835435,0.06891271194087649,1.0423286368175044,1.5751309687444692
VI,0.5,0.5,100,100.0,40.0,5,2034.8773926627462,14.4,661.1996323178322,0.22236724011600018,34.68854441911121,16.13747559928901,86.27976167275638,1.3564659966250536,180.4325699408847,0.02755313134934412,3.0161512081223463,1.8400248666051906
VI,1.0,0.5,100,100.0,40.0,5,2036.6269593979785,17.4,883.5570507892535,0.20057378020137548,85.34972187417671,18.861312130452912,60.32570383251732,1.0198039027185568,292.739065828128,0.012919884505739483,3.5096016795728557,0.6197975599248194
